name,code,childrenUrl,comment,url
"Alocatia pentru sustinerea familiei pe macroregiuni, regiuni de dezvoltare si judete",ASS118D,matrix,,matrix
"Subventii pentru asociatii si fundatii pe macroregiuni, regiuni de dezvoltare si judete",ASS118E,matrix,,matrix
"Ajutoare sociale pentru asigurarea venitului minim garantat pe macroregiuni, regiuni de dezvoltare si judete",ASS118F,matrix,,matrix
"Cantine  publice de ajutor social,1 ianuarie-31 decembrie pe macroregiuni, regiuni de dezvoltare si judete",ASS119A,matrix,,matrix
"Cantine private de ajutor social,1 ianuarie-31 decembrie pe macroregiuni, regiuni de dezvoltare si judete",ASS119B,matrix,,matrix
Veniturile si cheltuielile de protectie sociala,ASS122A,matrix,,matrix
"Cheltuielile de protectie sociala, pe categorii de cheltuieli si pe functii de protectie sociala",ASS122B,matrix,,matrix
"Ponderea cheltuielilor din cadrul fiecarei functii de prestatie sociala, in totalul cheltuielilor cu prestatiile sociale si in Produsul Intern Brut",ASS122C,matrix,,matrix
ABF Bunuri de folosinta indelungata la 100 gospodarii,BUF101A,matrix,,matrix
"AIG Numarul mediu de membri componenti ai unei  gospodarii, pe varste si grupe de varsta si principalele categorii sociale, pe sexe si medii de rezidenta",BUF103G,matrix,,matrix
"AIG Numarul mediu de membri componenti ai unei  gospodarii dupa structura ocupatiilor membrilor si principalele categorii sociale, pe medii de rezidenta",BUF103H,matrix,,matrix
"ABF Numarul mediu de membri componenti ai unei gospodarii , pe grupe de varsta si principalele categorii sociale, pe sexe si medii de rezidenta",BUF103I,matrix,,matrix
